,month,week,hour,access_count
0,8,Sunday,23,23
1,8,Sunday,22,70
2,8,Sunday,21,97
3,8,Sunday,20,49
4,8,Sunday,19,30
5,8,Sunday,18,96
6,8,Sunday,17,123
7,8,Sunday,16,89
8,8,Sunday,15,141
9,8,Sunday,14,101
10,8,Sunday,13,45
11,8,Sunday,12,52
12,8,Sunday,11,89
13,8,Sunday,10,125
14,8,Sunday,9,153
15,8,Sunday,8,187
16,8,Sunday,7,201
17,8,Sunday,6,142
18,8,Sunday,5,40
19,8,Sunday,4,4
20,8,Sunday,2,1
21,8,Sunday,1,1
22,8,Sunday,0,5
23,8,Saturday,23,23
24,8,Saturday,22,76
25,8,Saturday,21,113
26,8,Saturday,20,78
27,8,Saturday,19,45
28,8,Saturday,18,129
29,8,Saturday,17,146
30,8,Saturday,16,102
31,8,Saturday,15,163
32,8,Saturday,14,154
33,8,Saturday,13,85
34,8,Saturday,12,49
35,8,Saturday,11,90
36,8,Saturday,10,133
37,8,Saturday,9,187
38,8,Saturday,8,271
39,8,Saturday,7,222
40,8,Saturday,6,173
41,8,Saturday,5,69
42,8,Saturday,4,7
43,8,Saturday,2,4
44,8,Saturday,1,4
45,8,Saturday,0,7
46,8,Monday,1,5
47,8,Monday,0,6
48,7,Wednesday,23,138
49,7,Wednesday,22,342
50,7,Wednesday,21,550
51,7,Wednesday,20,433
52,7,Wednesday,19,436
53,7,Wednesday,18,462
54,7,Wednesday,17,476
55,7,Wednesday,16,481
56,7,Wednesday,15,592
57,7,Wednesday,14,427
58,7,Wednesday,13,146
59,7,Wednesday,12,103
60,7,Wednesday,11,183
61,7,Wednesday,10,493
62,7,Wednesday,9,563
63,7,Wednesday,8,752
64,7,Wednesday,7,918
65,7,Wednesday,6,811
66,7,Wednesday,5,326
67,7,Wednesday,4,66
68,7,Wednesday,3,3
69,7,Wednesday,2,5
70,7,Wednesday,1,14
71,7,Wednesday,0,37
72,7,Tuesday,23,128
73,7,Tuesday,22,312
74,7,Tuesday,21,466
75,7,Tuesday,20,443
76,7,Tuesday,19,381
77,7,Tuesday,18,372
78,7,Tuesday,17,468
79,7,Tuesday,16,382
80,7,Tuesday,15,501
81,7,Tuesday,14,368
82,7,Tuesday,13,133
83,7,Tuesday,12,70
84,7,Tuesday,11,165
85,7,Tuesday,10,354
86,7,Tuesday,9,482
87,7,Tuesday,8,702
88,7,Tuesday,7,778
89,7,Tuesday,6,666
90,7,Tuesday,5,294
91,7,Tuesday,4,48
92,7,Tuesday,3,9
93,7,Tuesday,2,12
94,7,Tuesday,1,21
95,7,Tuesday,0,32
96,7,Thursday,23,125
97,7,Thursday,22,368
98,7,Thursday,21,521
99,7,Thursday,20,734
100,7,Thursday,19,548
101,7,Thursday,18,523
102,7,Thursday,17,540
103,7,Thursday,16,462
104,7,Thursday,15,362
105,7,Thursday,14,303
106,7,Thursday,13,130
107,7,Thursday,12,85
108,7,Thursday,11,240
109,7,Thursday,10,424
110,7,Thursday,9,562
111,7,Thursday,8,877
112,7,Thursday,7,932
113,7,Thursday,6,809
114,7,Thursday,5,333
115,7,Thursday,4,59
116,7,Thursday,3,7
117,7,Thursday,2,6
118,7,Thursday,1,28
119,7,Thursday,0,35
120,7,Sunday,23,73
